"Hist1h1b"
"Hbb-bt"
"Cenpf"
"Ube2c"
"Dqx1"
"Hist1h2ap"
"Sox18"
"Cdkn1a"
"Hist1h2ae"
"Hist1h1e"
"Mfap5"
"Hbb-y"
"Olfr1369-ps1"
"Gal"
"Ren1"
"Stmn2"
"Nrk"
"Ccn3"
"Hba-x"
"Clec3b"
"Gfod2"
"Top2a"
"Aspn"
"Ecrg4"
"C1qtnf3"
"Sox2"
"Prc1"
"Akap12"
"Mki67"
"Nusap1"
"Cenpa"
"Foxd1"
"Birc5"
"Hba-a2"
"Plac8"
"Igf1"
"Klf4"
"Nppc"
"Hist1h4d"
"Sema3c"
"Hist2h2ac"
"Pttg1"
"Ly6a"
"Cdc20"
"Hmmr"
"Pcsk2"
"Gm26737"
"Cenpe"
"Ccnb1"
"Ccl2"
"Igfbp3"
"Igfbp6"
"Gm28578"
"Cdca8"
"Cdk1"
"Rbp1"
"Bst2"
"Rgcc"
"Tpx2"
"Hist1h3c"
"Sfrp2"
"Nrp2"
"Fst"
"Adamts5"
"Klf2"
"Aspm"
"Acta2"
"Tnnt2"
"Fosb"
"Tppp3"
"Actc1"
"Hist1h1a"
"Anxa3"
"Atpaf2"
"Sox9"
"Kif23"
"Apod"
"Ptch1"
"Egr1"
"Hist1h1d"
"Itih5"
"Prss23"
"Spc25"
"Cavin2"
"Sgo2a"
"Aurkb"
"Calb1"
"Nrgn"
"Ccnb2"
"Ednrb"
"Clu"
"Kif11"
"Ntrk2"
"Col5a3"
"Kif20b"
"Nnat"
"Ccna2"
"Mis18bp1"
"Dpp4"
"Bmp4"
"Crlf1"
"Knl1"
"Tuba1c"
"Hist1h4h"
"Anxa1"
"S100b"
"Ckap2l"
"Hist2h2bb"
"Esco2"
"Mgst1"
"Cd55"
"Pimreg"
"Pdpn"
"Btg2"
"Hist1h1c"
"Tgfb2"
"Arhgap20"
"Cdkn3"
"Col11a1"
"Grin2a"
"Wnt2"
"Dkk2"
"Plk1"
"Angptl1"
"Aurka"
"Lsp1"
"Fbxo5"
"Incenp"
"Sox11"
"Col6a6"
"Cemip"
"Cbln2"
"Rrm2"
"Rspo3"
"Agl"
"Zfhx3"
"Gata6"
"Irgm1"
"Cdca3"
"Pcdh19"
"Anln"
"Nupr1"
"Bmp3"
"Ncam2"
"S100a16"
"Lpar4"
"Tacc3"
"Mxd3"
"Adam23"
"Sparcl1"
"Hpgd"
"Rtl3"
"Tnc"
"Gas2l3"
"Aldh1a2"
"Ttn"
"Tk1"
"Krtdap"
"Tmeff2"
"Ccl11"
"C130073E24Rik"
"Dclk1"
"Slfn9"
"Phlda2"
"Lypd2"
"Dlgap5"
"Clspn"
"Tshz2"
"Lix1"
"Ckap2"
"Hist1h3e"
"Emilin2"
"Cyp26b1"
"Pamr1"
"Piezo2"
"Tex15"
"Mgat4c"
"Lypd1"
"Kif15"
"Creb5"
"Calml4"
"Hist1h2bm"
"Tagln"
"Racgap1"
"Hist1h3i"
"Depdc1a"
"Rarres2"
"Atad2"
"Loxl1"
"Hist1h2bn"
"Knstrn"
"Npas3"
"Col8a1"
"Fndc1"
"Prdm1"
"Kera"
"Pi16"
"Opcml"
"Bub1b"
"Hoxc10"
"Cryab"
"Meox2"
"Dbf4"
"Kif22"
"Txndc16"
"Arhgap11a"
"Nol4l"
"Ndc80"
"Dusp1"
"Kif4"
"Ndnf"
"Sfrp1"
"Spc24"
"Hspb1"
"Nell1"
"Lef1"
"Efnb2"
"Prl8a8"
"Kpna2"
"Kcnj8"
"Apoe"
"A2m"
"Ebf2"
"Pbk"
"Efemp1"
"Lockd"
"Stmn4"
"Hist1h2bj"
"Atf3"
"Gm11541"
"Sgo1"
"Prph"
"Alcam"
"Thbs1"
"Tmem37"
"Fabp3"
"Rad51ap1"
"Trps1"
"Hjurp"
"Bub1"
"Ifitm1"
"Sema3d"
"Kif20a"
"Arhgap15"
"Epha3"
"Dkk1"
"Serpinb1a"
"Plk2"
"Hmox1"
"Hoxb5os"
"Nrn1"
"Kif14"
"Col9a3"
"Fam83d"
"Pcdh17"
"Flrt2"
"Rbp4"
"Chl1"
"Hist1h4a"
"Kif2c"
"Adm"
"Mt3"
"Cebpd"
"Ifi27l2a"
"Cav1"
"Limch1"
"Msmo1"
"Spon2"
"Pcdh7"
"Trim59"
"Filip1l"
"Igfbp2"
"Enpp2"
"Gas6"
"Tm4sf1"
"Bora"
"Tagln2"
"Mylpf"
"Htr1f"
"Epha4"
"Nxph1"
"Akr1c14"
"Thbs2"
"Gfra1"
"Hist1h2ad"
"Gpc6"
"Tubb6"
"Smoc2"
"Pf4"
"Rangap1"
"Ccdc163"
"Tenm2"
"St7"
"Gdf10"
"Ly6c1"
"Clec11a"
"Bmp2"
"Syne1"
"Ccne2"
"Tek"
"G2e3"
"Prelp"
"Cdkn2d"
"Hells"
"Cd24a"
"Egr4"
"Atp1b1"
"Ska1"
"Bex2"
"Cdc25b"
"Ect2"
"Mgp"
"Cbr3"
"Osr2"
"Hist1h4c"
"Ccnf"
"Efhd1"
"Slc2a3"
"Psrc1"
"Parvb"
"Pi15"
"Gm26917"
"Shox2"
"Sgip1"
"Hist1h2bl"
"Lgr5"
"Ddit4l"
"Hoxa10"
"Cenpw"
"Tnxb"
"Sapcd2"
"Ckap5"
"Adat1"
"Ifi27"
"Ier3"
"Timp3"
"Igfbp7"
"Ptgis"
"Gmnn"
"Tmem158"
"Ebf3"
"Vsnl1"
"Capn6"
"2700046A07Rik"
"Smim1"
"Rpl39l"
"Hist1h2ak"
"Ncapg"
"Scara5"
"Hapln3"
"Zdbf2"
"Ccdc80"
"Gm10320"
"Cdc42ep3"
"Mef2c"
"Dmrt2"
"Ntng1"
"Rgs16"
"C730034F03Rik"
"Hist1h2be"
"Nid2"
"Shcbp1"
"Grem1"
"Mir99ahg"
"Fam111a"
"Kcnk2"
"2810403D21Rik"
"Cenpm"
"1110032F04Rik"
"Peg10"
"Hoxa9"
"Epha5"
"Cdca2"
"Tac1"
"Csmd3"
"Tcf7l2"
"Slc26a7"
"Diaph3"
"Tnmd"
"Hmgcs2"
"Cited2"
"Melk"
"Cenpq"
"Col6a5"
"Sema6d"
"Cenph"
"Fgf10"
"Cldn1"
"S100a4"
"Tnnc1"
"Plat"
"Reln"
"Fgf7"
"Myl9"
"Iqgap2"
"Pam"
"Sfrp5"
"Cdc25c"
"Nrxn1"
"Cdh5"
"Nrtn"
"Nuf2"
"Hand2"
"Neil3"
"Lepr"
"Selenop"
"Ptprz1"
"Prkg1"
"Pcsk5"
"Nefl"
"Fzd4"
"Col7a1"
"Dhfr"
"Prss35"
"Des"
"Cpne5"
"Ncapg2"
"Asf1b"
"Plk4"
"Cntn5"
"Hs3st1"
"Rrm1"
"Spock3"
"Lypd10"
"Ldb2"
"Cpe"
"Kif18a"
"Ldhb"
"Arhgap19"
"Sostdc1"
"Hist1h2bc"
"Spdl1"
"Cdc6"
"Scnn1b"
"Zic1"
"Pou3f4"
"Pdgfa"
"Parm1"
"Gja1"
"Ptx3"
"Fmo1"
"Edn3"
"Veph1"
"Cdc42ep2"
"Bmper"
"Bambi"
"Cenpl"
"Zyx"
"Ahnak2"
"Pcdh10"
"Ephb1"
"Heyl"
"Mt1"
"Cxcl1"
"Pde8a"
"Phactr2"
"Tinagl1"
"Meox1"
"Chrdl1"
"Brca1"
"Gm35696"
"Rras2"
"Mad2l1"
"Rtn1"
"Dio3"
"Slitrk4"
"Sema3a"
"Nnmt"
"Cntn4"
"Hhip"
"Sphkap"
"Hoxb9"
"Hist1h3a"
"Col23a1"
"Tspan18"
"Cep55"
"Klf7"
"Gna14"
"Mybpc1"
"Cd44"
"Ncaph"
"Ncapd2"
"Zfp710"
"Troap"
"Slco2a1"
"Gadd45b"
"Cpt1a"
"Cdkn2c"
"Svep1"
"Cip2a"
"Chst1"
"Adamts1"
"Wif1"
"Adamts19"
"Hist1h2ab"
"Tbx3os1"
"Dab1"
"Phlda3"
"Bcl11a"
"Mafb"
"Uchl1"
"Gm26885"
"Hirip3"
"Ptgs1"
"Ttk"
"Negr1"
"Col9a1"
"Pcdhb7"
"Sned1"
"Col25a1"
"Inhba"
"Lbr"
"Gm26871"
"Lmcd1"
"Rad51"
"Lpl"
"Fzr1"
"Flt1"
"Uhrf1"
"Kcnq3"
"Jag1"
"AW551984"
"Adam12"
"Cenpp"
"Cd34"
"Angpt1"
"Elavl2"
"Nav3"
"AA465934"
"Slit2"
"Gria3"
"2610016A17Rik"
"Itga4"
"Klhl13"
"Pltp"
"Pdgfrl"
"Bmpr1b"
"Foxp1"
"Fxyd7"
"Met"
"Vat1l"
"Trip13"
"Cox4i2"
"Gm16196"
"March1"
"Rps6ka3"
"Fmo2"
"Casz1"
"Pola1"
"Adgrb3"
"Iqgap3"
"Ntm"
"Apela"
"Chrm2"
"Ndst3"
"Dtl"
"Plxdc2"
"Slc4a4"
"Epha7"
"Rgs17"
"Vgll3"
"Shisa9"
"Cit"
"Qpct"
"Tenm1"
"Trpc5"
"Pappa"
"Chaf1b"
"Ccdc18"
"Camk2d"
"Gm17251"
"Gm12840"
"Cttnbp2"
"Nek2"
"Ubald2"
"Col9a2"
"Mvd"
"Tmod2"
"Lgals9"
"Edil3"
"Ndufa4l2"
"Tnfrsf11b"
"Sulf1"
"Unc5c"
"Golga3"
"Cdh10"
"Cpa6"
"Itga1"
"Rgs2"
"Cpm"
"Ar"
"Serpine2"
"Phlda1"
"Adra2a"
"Cenpk"
"Mylk"
"Fndc5"
"Lurap1l"
"Dab2"
"Robo2"
"Pdlim2"
"Tmem26"
"Timp4"
"Pif1"
"Pakap.1"
"Crip2"
"Tcf19"
"Rbm46"
"Prr11"
"Gm8251"
"Gask1b"
"Hist1h3b"
"Ctsh"
"Adgrg2"
"Fmod"
"Srpx2"
"Ulbp1"
"Ntrk3"
"Frrs1l"
"Gatm"
"Kctd8"
